epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,8754.67,0.09854,11.2785,1.17171,0.94407,0.96616,0.97278,0.6315,0.08791,9.21411,1.1438,0.00889687,0.00889687,0.00889687
67,8885.46,0.0986,11.1737,1.17457,0.95082,0.96501,0.97377,0.63442,0.08771,9.13237,1.14135,0.00886404,0.00886404,0.00886404
68,9017.64,0.09835,11.2385,1.17054,0.94658,0.96701,0.97533,0.63752,0.08741,9.08972,1.14038,0.00883079,0.00883079,0.00883079
69,9148.07,0.0978,11.081,1.17088,0.93696,0.96362,0.9749,0.63782,0.08772,9.13308,1.1398,0.00879713,0.00879713,0.00879713
70,9283.4,0.09727,11.1342,1.16477,0.92744,0.96531,0.97559,0.63873,0.08714,9.10493,1.14294,0.00876305,0.00876305,0.00876305
71,9417.38,0.09875,11.3006,1.17178,0.94117,0.96531,0.9767,0.63797,0.08828,9.08566,1.14408,0.00872857,0.00872857,0.00872857
72,9548.69,0.09775,11.1041,1.16901,0.94787,0.97208,0.97807,0.64155,0.08769,9.02446,1.14052,0.00869368,0.00869368,0.00869368
73,9681.95,0.09777,11.1271,1.17085,0.94858,0.97208,0.97702,0.64864,0.08681,9.03951,1.14089,0.00865839,0.00865839,0.00865839
74,9816.38,0.09728,11.1137,1.16581,0.94994,0.97039,0.97656,0.6511,0.08617,8.97066,1.13519,0.00862271,0.00862271,0.00862271
75,9947.6,0.09837,11.2165,1.17447,0.94744,0.97039,0.97571,0.64445,0.08685,9.09853,1.13686,0.00858664,0.00858664,0.00858664
76,10081.7,0.09764,11.1451,1.166,0.95182,0.9687,0.97607,0.64669,0.08651,9.07116,1.13609,0.00855018,0.00855018,0.00855018
77,10213.6,0.0976,11.1125,1.16901,0.95198,0.97124,0.97681,0.64693,0.08627,8.95591,1.13107,0.00851333,0.00851333,0.00851333
78,10346.9,0.09795,11.2299,1.17012,0.95185,0.97462,0.97732,0.64251,0.08693,8.90077,1.13403,0.00847611,0.00847611,0.00847611
79,10478.6,0.09703,11.0535,1.16872,0.95277,0.97289,0.97858,0.65018,0.08639,8.92087,1.13287,0.00843851,0.00843851,0.00843851
80,10609.5,0.0978,11.1083,1.16429,0.95433,0.97222,0.98,0.65496,0.08566,8.85347,1.12838,0.00840054,0.00840054,0.00840054
81,10743,0.09811,10.9967,1.16758,0.96079,0.97423,0.98094,0.65282,0.08525,8.83467,1.12624,0.0083622,0.0083622,0.0083622
82,10876.1,0.09672,11.0821,1.16629,0.9575,0.97219,0.98049,0.653,0.08543,8.85631,1.12532,0.00832349,0.00832349,0.00832349
83,11005.1,0.09723,10.9353,1.16787,0.95746,0.97293,0.98051,0.653,0.08547,8.85616,1.12418,0.00828443,0.00828443,0.00828443
84,11138.6,0.09773,11.0743,1.1657,0.95706,0.97208,0.98018,0.65482,0.0849,8.79867,1.11915,0.00824502,0.00824502,0.00824502
85,11269.6,0.09656,10.9122,1.16056,0.95697,0.96954,0.97939,0.65799,0.08489,8.82166,1.11986,0.00820525,0.00820525,0.00820525
86,11403.6,0.09662,10.9542,1.161,0.95827,0.97133,0.98202,0.6583,0.08473,8.85443,1.11915,0.00816514,0.00816514,0.00816514
87,11535.3,0.09684,10.9329,1.16149,0.95685,0.9687,0.97943,0.65802,0.08483,8.82425,1.12025,0.00812468,0.00812468,0.00812468
88,11666.3,0.09687,10.8391,1.16304,0.95634,0.96785,0.97967,0.65946,0.08493,8.83374,1.12193,0.00808389,0.00808389,0.00808389
89,11797.3,0.09628,10.8477,1.15776,0.95628,0.9687,0.98025,0.66073,0.08471,8.79133,1.12058,0.00804277,0.00804277,0.00804277
90,11928.6,0.09649,10.8873,1.15772,0.95713,0.9687,0.98051,0.66227,0.08464,8.7911,1.12122,0.00800131,0.00800131,0.00800131
91,12061.3,0.09628,10.9367,1.15707,0.95736,0.96885,0.97893,0.66296,0.08432,8.78602,1.12107,0.00795954,0.00795954,0.00795954
92,12192.4,0.09639,10.8512,1.15234,0.9576,0.96954,0.98105,0.66026,0.08438,8.79929,1.12358,0.00791744,0.00791744,0.00791744
93,12323.7,0.09578,10.7976,1.15788,0.95859,0.96954,0.9788,0.66008,0.08457,8.78164,1.1256,0.00787503,0.00787503,0.00787503
94,12455.4,0.09493,10.756,1.14766,0.95745,0.97095,0.98119,0.66051,0.08452,8.76873,1.12624,0.00783231,0.00783231,0.00783231
95,12588.7,0.09551,10.8013,1.15288,0.95746,0.97105,0.97898,0.66103,0.08433,8.76886,1.12477,0.00778929,0.00778929,0.00778929
96,12719.7,0.09621,10.9041,1.15898,0.95582,0.96954,0.97805,0.6616,0.08422,8.74836,1.12379,0.00774596,0.00774596,0.00774596
97,12849.1,0.09595,10.8582,1.1601,0.95267,0.97061,0.97894,0.6621,0.08404,8.73099,1.12305,0.00770234,0.00770234,0.00770234
98,12983.3,0.09606,10.7578,1.15484,0.95352,0.97198,0.9792,0.66269,0.08403,8.71855,1.12198,0.00765843,0.00765843,0.00765843
99,13114.6,0.09567,10.7732,1.15064,0.94997,0.97039,0.97877,0.66294,0.08393,8.72681,1.12199,0.00761423,0.00761423,0.00761423
100,13246.6,0.09568,10.6863,1.15389,0.95373,0.97039,0.97887,0.66322,0.08371,8.72198,1.12056,0.00756976,0.00756976,0.00756976
101,13378.9,0.09575,10.7827,1.15547,0.95456,0.97124,0.97889,0.66422,0.08343,8.7047,1.1191,0.007525,0.007525,0.007525
102,13508.4,0.09541,10.7716,1.15133,0.95253,0.97293,0.9788,0.66613,0.08324,8.70485,1.11816,0.00747997,0.00747997,0.00747997
103,13638.4,0.09555,10.6664,1.14979,0.94949,0.97293,0.9786,0.66427,0.08318,8.70559,1.11784,0.00743468,0.00743468,0.00743468
104,13771.4,0.09498,10.7151,1.14693,0.94931,0.97293,0.97871,0.66415,0.08313,8.67526,1.11728,0.00738913,0.00738913,0.00738913
105,13903.4,0.09538,10.667,1.15005,0.95009,0.97293,0.97912,0.6646,0.08304,8.65682,1.11651,0.00734332,0.00734332,0.00734332
106,14033.4,0.09471,10.6106,1.14648,0.95011,0.97293,0.97972,0.66523,0.08295,8.64859,1.11509,0.00729725,0.00729725,0.00729725
107,14164.5,0.09516,10.606,1.14692,0.95197,0.9725,0.97974,0.6645,0.08292,8.62442,1.11436,0.00725094,0.00725094,0.00725094
108,14296.3,0.09491,10.599,1.14993,0.95303,0.97208,0.97929,0.665,0.08288,8.62144,1.11404,0.00720439,0.00720439,0.00720439
109,14426.6,0.09487,10.6746,1.14449,0.95182,0.97124,0.97915,0.66479,0.08286,8.63405,1.11388,0.00715761,0.00715761,0.00715761
110,14558.9,0.09425,10.554,1.14676,0.95171,0.97124,0.97916,0.6651,0.08287,8.62348,1.11391,0.00711059,0.00711059,0.00711059
111,14689.3,0.09485,10.5943,1.14946,0.9519,0.971,0.97908,0.66544,0.08283,8.63175,1.11363,0.00706335,0.00706335,0.00706335
112,14821.2,0.09464,10.4902,1.14285,0.95115,0.97039,0.97943,0.66655,0.0829,8.61068,1.11339,0.00701588,0.00701588,0.00701588
113,14955.3,0.09436,10.5979,1.14269,0.95008,0.96954,0.97934,0.66595,0.08298,8.61839,1.11351,0.0069682,0.0069682,0.0069682
114,15087.4,0.09398,10.5209,1.13795,0.9503,0.9706,0.97979,0.66599,0.08293,8.60605,1.11297,0.00692031,0.00692031,0.00692031
115,15221.3,0.09474,10.6136,1.14463,0.95091,0.97039,0.97969,0.66651,0.08294,8.60318,1.11331,0.00687222,0.00687222,0.00687222
116,15351.6,0.09431,10.5427,1.14259,0.95213,0.97039,0.98004,0.66717,0.08288,8.58739,1.11308,0.00682392,0.00682392,0.00682392
117,15483.6,0.09325,10.459,1.13648,0.95081,0.97124,0.9799,0.66784,0.08284,8.585,1.11261,0.00677543,0.00677543,0.00677543
118,15617,0.0941,10.494,1.14986,0.9523,0.97124,0.97993,0.66758,0.08276,8.57688,1.11187,0.00672675,0.00672675,0.00672675
119,15749.6,0.09381,10.4183,1.13991,0.95233,0.97124,0.98004,0.66825,0.08268,8.57626,1.1114,0.00667789,0.00667789,0.00667789
